store_id,run_date,recommended_order_qty,expected_cost,stockout_probability,service_level_target,drivers_json
4,2026-08-28,6770.0,31948.047196229694,0.0486,0.95,"{""demand_change_pct"": -27.2, ""starting_inventory"": 9422.2, ""incoming_inventory"": 0.0, ""horizon_days"": 15, ""target_service_level_pct"": 95.0, ""achieved_stockout_risk_pct"": 4.9, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint"", ""unit_cost"": 4.71, ""unit_price_proxy"": 7.25, ""service_level_achievable_under_constraints"": true, ""lead_time_days"": 7.7, ""review_period_days"": 7}"
23,2026-08-28,1370.0,10093.138969123596,0.0488,0.95,"{""demand_change_pct"": -28.9, ""starting_inventory"": 4334.6, ""incoming_inventory"": 0.0, ""horizon_days"": 15, ""target_service_level_pct"": 95.0, ""achieved_stockout_risk_pct"": 4.9, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint"", ""unit_cost"": 7.33, ""unit_price_proxy"": 11.28, ""service_level_achievable_under_constraints"": true, ""lead_time_days"": 8.1, ""review_period_days"": 7}"
85,2026-08-28,7080.0,32831.57815368899,0.05,0.95,"{""demand_change_pct"": -7.0, ""starting_inventory"": 7254.8, ""incoming_inventory"": 0.0, ""horizon_days"": 14, ""target_service_level_pct"": 95.0, ""achieved_stockout_risk_pct"": 5.0, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint"", ""unit_cost"": 4.63, ""unit_price_proxy"": 7.12, ""service_level_achievable_under_constraints"": true, ""lead_time_days"": 7.0, ""review_period_days"": 7}"
86,2026-08-28,0.0,3.9485149172579854,0.0,0.95,"{""demand_change_pct"": -31.0, ""starting_inventory"": 6543.0, ""incoming_inventory"": 0.0, ""horizon_days"": 13, ""target_service_level_pct"": 95.0, ""achieved_stockout_risk_pct"": 0.0, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint"", ""unit_cost"": 4.98, ""unit_price_proxy"": 7.66, ""service_level_achievable_under_constraints"": true, ""lead_time_days"": 6.4, ""review_period_days"": 7}"
108,2026-08-28,2100.0,17682.68201584748,0.047,0.95,"{""demand_change_pct"": -23.4, ""starting_inventory"": 9420.2, ""incoming_inventory"": 0.0, ""horizon_days"": 15, ""target_service_level_pct"": 95.0, ""achieved_stockout_risk_pct"": 4.7, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint"", ""unit_cost"": 8.4, ""unit_price_proxy"": 12.92, ""service_level_achievable_under_constraints"": true, ""lead_time_days"": 8.0, ""review_period_days"": 7}"
122,2026-08-28,3690.0,19452.71313989195,0.05,0.95,"{""demand_change_pct"": -5.3, ""starting_inventory"": 10279.3, ""incoming_inventory"": 0.0, ""horizon_days"": 13, ""target_service_level_pct"": 95.0, ""achieved_stockout_risk_pct"": 5.0, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint"", ""unit_cost"": 5.26, ""unit_price_proxy"": 8.08, ""service_level_achievable_under_constraints"": true, ""lead_time_days"": 5.9, ""review_period_days"": 7}"
126,2026-08-28,0.0,7.640628793430126,0.0,0.95,"{""demand_change_pct"": -29.0, ""starting_inventory"": 6573.0, ""incoming_inventory"": 0.0, ""horizon_days"": 15, ""target_service_level_pct"": 95.0, ""achieved_stockout_risk_pct"": 0.0, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint"", ""unit_cost"": 7.68, ""unit_price_proxy"": 11.81, ""service_level_achievable_under_constraints"": true, ""lead_time_days"": 8.1, ""review_period_days"": 7}"
152,2026-08-28,0.0,9.11642428899035,0.0,0.95,"{""demand_change_pct"": -31.8, ""starting_inventory"": 8770.0, ""incoming_inventory"": 0.0, ""horizon_days"": 14, ""target_service_level_pct"": 95.0, ""achieved_stockout_risk_pct"": 0.0, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint"", ""unit_cost"": 5.68, ""unit_price_proxy"": 8.73, ""service_level_achievable_under_constraints"": true, ""lead_time_days"": 6.9, ""review_period_days"": 7}"
161,2026-08-28,2310.0,13248.665927765802,0.0494,0.95,"{""demand_change_pct"": -30.2, ""starting_inventory"": 5030.6, ""incoming_inventory"": 0.0, ""horizon_days"": 12, ""target_service_level_pct"": 95.0, ""achieved_stockout_risk_pct"": 4.9, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint"", ""unit_cost"": 5.72, ""unit_price_proxy"": 8.8, ""service_level_achievable_under_constraints"": true, ""lead_time_days"": 4.8, ""review_period_days"": 7}"
192,2026-08-28,3830.0,34401.18734994776,0.0494,0.95,"{""demand_change_pct"": -28.0, ""starting_inventory"": 7741.7, ""incoming_inventory"": 0.0, ""horizon_days"": 16, ""target_service_level_pct"": 95.0, ""achieved_stockout_risk_pct"": 4.9, ""budget_status"": ""no_budget_constraint"", ""capacity_status"": ""no_capacity_constraint"", ""unit_cost"": 8.97, ""unit_price_proxy"": 13.79, ""service_level_achievable_under_constraints"": true, ""lead_time_days"": 9.4, ""review_period_days"": 7}"
